Timestamp,Object_ID,Depth_mm
1741815455.3714998,1,53.9
1741815455.3714998,3,166.3
1741815455.44201,1,55.0
1741815455.44201,3,173.4
1741815455.5292823,1,55.6
1741815455.5292823,3,170.0
1741815455.5918689,1,55.8
1741815455.5918689,3,164.5
1741815455.655934,1,56.3
1741815455.655934,3,172.4
1741815455.7159982,0,56.2
1741815455.7159982,3,169.5
1741815455.7815723,1,54.1
1741815455.8401449,1,53.3
1741815455.8912466,1,52.5
1741815455.9563196,1,51.2
1741815455.9563196,3,167.7
1741815456.0165358,1,51.3
1741815456.0165358,0,0.0
1741815456.0165358,3,168.6
1741815456.08416,1,51.1
1741815456.08416,0,0.0
1741815456.1533346,1,50.1
1741815456.1533346,0,0.0
1741815456.2040396,1,49.5
1741815456.2050383,0,0.0
1741815456.2515168,1,49.0
1741815456.2520256,0,0.0
1741815456.3092031,1,48.6
1741815456.3092031,0,0.0
1741815456.34499,1,48.4
1741815456.34499,0,0.0
1741815456.3762765,1,48.2
1741815456.377158,0,0.0
1741815456.425558,1,48.0
1741815456.425558,0,0.0
1741815456.4811132,1,47.9
1741815456.4816377,0,0.0
1741815456.5447843,1,48.0
1741815456.5447843,0,0.0
1741815456.600062,1,48.1
1741815456.6013954,0,0.0
1741815456.64832,1,48.5
1741815456.648831,0,0.0
1741815456.6966057,1,48.8
1741815456.6966057,0,0.0
1741815456.7389216,0,0.0
1741815456.7812357,0,0.0
1741815456.8290622,0,0.0
1741815456.8788862,0,0.0
1741815456.8798947,1,51.5
1741815456.9059548,0,0.0
1741815456.9069502,1,51.7
1741815456.9608462,0,0.0
1741815456.9608462,1,52.2
1741815457.0389483,0,0.0
1741815457.0389483,1,52.6
1741815457.1162212,0,0.0
1741815457.1162212,1,52.4
1741815457.160735,0,0.0
1741815457.160735,1,51.9
1741815457.209733,0,0.0
1741815457.209733,1,50.9
1741815457.262957,0,0.0
1741815457.262957,1,50.4
1741815457.3199685,0,0.0
1741815457.3199685,1,50.3
1741815457.368748,0,0.0
1741815457.368748,1,50.1
1741815457.4434445,0,0.0
1741815457.4434445,1,49.6
1741815457.4967406,0,0.0
1741815457.4967406,1,49.0
1741815457.5594916,0,0.0
1741815457.5594916,1,48.0
1741815457.6190505,0,0.0
1741815457.6196475,1,47.0
1741815457.6603937,0,0.0
1741815457.6603937,1,46.7
1741815457.7072618,0,0.0
1741815457.7072618,1,46.5
1741815457.750306,0,0.0
1741815457.750306,1,46.4
1741815457.8002565,0,0.0
1741815457.8002565,1,46.3
1741815457.844591,0,0.0
1741815457.844591,1,46.1
1741815457.8970468,0,0.0
1741815457.8980403,1,46.0
1741815457.9399514,0,0.0
1741815457.9399514,1,46.1
1741815457.9855072,0,0.0
1741815457.9855072,1,46.1
1741815458.0436616,0,0.0
1741815458.0446615,1,46.2
1741815458.1129086,0,0.0
1741815458.1129086,1,46.4
1741815458.1611755,0,0.0
1741815458.1611755,1,46.4
1741815458.2164674,0,0.0
1741815458.217657,1,46.5
1741815458.316841,0,0.0
1741815458.316841,1,46.6
1741815458.37662,0,0.0
1741815458.37662,1,46.4
1741815458.3776555,3,156.5
1741815458.4268658,0,0.0
1741815458.4268658,1,46.5
1741815458.468824,0,0.0
1741815458.468824,1,46.8
1741815458.4691849,3,155.3
1741815458.5298865,0,0.0
1741815458.5312011,1,47.3
1741815458.5312011,3,156.9
1741815458.6005423,0,0.0
1741815458.6005423,1,48.2
1741815458.6015236,3,158.1
1741815458.644559,0,0.0
1741815458.644559,1,48.9
1741815458.644559,3,158.5
1741815458.6870668,0,0.0
1741815458.6870668,1,51.1
1741815458.6870668,3,158.9
1741815458.7362893,0,0.0
1741815458.7362893,1,53.0
1741815458.7362893,3,163.6
1741815458.7891483,0,0.0
1741815458.7891483,1,54.1
1741815458.7891483,3,161.0
1741815458.8477726,0,0.0
1741815458.8477726,3,162.7
1741815458.89338,0,0.0
1741815458.89338,3,170.0
1741815458.9380288,0,0.0
1741815458.939024,3,167.2
1741815458.939024,1,56.4
1741815458.9681425,0,0.0
1741815458.9691422,3,165.8
1741815458.9691422,1,56.9
1741815459.0160096,0,0.0
1741815459.0160096,3,171.9
1741815459.016996,1,57.0
1741815459.0636077,0,0.0
1741815459.0646138,3,170.0
1741815459.0646138,1,57.2
1741815459.1124463,0,0.0
1741815459.1124463,3,169.1
1741815459.1124463,1,57.2
1741815459.1853654,0,0.0
1741815459.1853654,3,170.5
1741815459.1863918,1,57.0
1741815459.2343476,0,0.0
1741815459.235351,3,168.6
1741815459.235351,1,56.7
1741815459.2829752,0,0.0
1741815459.2829752,3,171.5
1741815459.2829752,1,55.9
1741815459.3501892,0,0.0
1741815459.3501892,3,171.0
